PID		MEM 		CPU 		USER       	NLWP 		COUNTER		COMMAND
1715		0.193228868481	0.557811750413	ingjavi+	4.46119898988	5496777.0	/usr/lib/x86_64-linux-gnu/u
180		0.0		0.0		root		1.0		2965066.0	[jbd2/sda1-8]
2248		0.0		0.1		root		1.0		1.0		[aptd]
5824		1.47013463892	4.39571603427	ingjavi+	21.8212974296	817.0		/usr/lib/firefox/plugin-con
52		0.0		0.0		root		1.0		2965061.0	[kthrotld]
16496		0.0		0.0		root		1.0		1616983.0	[kworker/1:2]
1864		0.130987354819	0.000003069136	ingjavi+	4.0		2965003.0	/usr/lib/policykit-1-gnome/
26323		0.0		0.0		root		1.0		3.0		[systemd-cgroups]
32145		0.0		0.00000172888	root		1.0		2602837.0	[kworker/u4:1]
640		0.0		0.0		root		1.0		35664.0		[kworker/0:4]
154		0.0		0.0		root		1.0		2965061.0	[scsi_tmf_2]
88		0.0		0.0		root		1.0		2965061.0	[ipv6_addrconf]
29		0.0		0.0		root		1.0		2965062.0	[devfreq_wq]
152		0.0		0.0		root		1.0		2965058.0	[kworker/1:1H]
24371		0.0		0.0		ingjavi+	1.0		1240.0		[ps]
1402		0.0		0.0		ingjavi+	1.0		2968707.0	(sd-pam)
10		0.0		0.0		root		1.0		2965061.0	[watchdog/0]
1379		0.0702843650487	0.0		colord		3.0		2965062.0	/usr/lib/colord/colord
21197		0.0		0.0		root		1.0		11.0		[systemd-hostnam]
2419		0.206850285273	0.00016529182	ingjavi+	4.00005295004	2965059.0	update-notifier
5936		0.0		0.0		ingjavi+	1.0		22.0		[date]
1156		0.0		0.0		_apt		1.0		511.0		/usr/lib/apt/methods/gpgv
1659		0.211695374901	0.000399283522	ingjavi+	4.0		2965061.0	/usr/lib/ibus/ibus-ui-gtk3
8820		0.00238164211	0.002596838271  ingjavi+	1.0		48328.0		[python2.7]
153		0.0		0.0		root		1.0		2965061.0	[scsi_eh_2]
11		0.0		0.0		root		1.0		2965061.0	[watchdog/1]
36		0.0		0.0		root		1.0		2965063.0	[ecryptfs-kthrea]
677		0.06605120913	0.0		root		7.36649953104	2965057.0	/usr/lib/snapd/snapd
790		0.03411835451	0.0		root		3.0		2965058.0	/usr/sbin/lightdm
1351		0.0		0.0		rtkit		3.0		2965060.0	/usr/lib/rtkit/rtkit-daemon
29516		0.0		0.0		ingjavi+	1.0		1.0		[pkexec]
11531		0.0		0.0		root		1.0		3062.0		[xfsalloc]
2957		0.399352219392	0.127451157859	ingjavi+	4.03158738573	77341.0		/usr/lib/gnome-terminal/gno
19		0.0		0.0		root		1.0		2965061.0	[khungtaskd]
2193		0.0504802818992	.00000595	ingjavi+	4.0005230828	2829380.0	/usr/lib/gvfs/gvfsd-network
1635		0.0040173217405 0.0		ingjavi+	3.0003564852	2965060.0	/usr/lib/gvfs/gvfsd
10970		0.1773170596	0.001366591618  ingjavi+	4.00065805585	1265850.0	/usr/bin/unity-scope-loader
5		0.0		0.0		root		1.0		2965061.0	[kworker/0:0H]
9060		0.0249990217561	0.0		ingjavi+	3.49995108781	102224.0	/usr/lib/speech-dispatcher-
102		0.0		0.0		root		1.0		2965063.0	[charger_manager]
1658		0.0257313771708	0.0		ingjavi+	4.0		2965057.0	/usr/lib/ibus/ibus-dconf
22		0.0		0.0		root		1.0		2965062.0	[khugepaged]
14		0.0		0.0		root		1.0		2033384.0	[kworker/1:0]
26323		0.0		0.0		root		1.0		3.0		/lib/systemd/systemd-cgroup
8		0.0		0.0		root		1.0		2965060.0	[rcu_bh]
1909		0.0		0.0		ingjavi+	3.0		2965058.0	/usr/lib/gvfs/gvfs-mtp-volu
1917		0.0534243512268	0.0		ingjavi+	4.0		2965058.0	/usr/lib/gvfs/gvfs-afc-volu
307		0.0		0.0		root		1.0		83484.0		[kworker/0:3]
2964		0.0		0.003187539617	ingjavi+	1.0		77301.0		bash
1924		0.0		0.0		ingjavi+	3.0		2965057.0	/usr/lib/gvfs/gvfs-goa-volu
13		0.0		0.209278659266	root		1.0		2965062.0	[ksoftirqd/1]
80		0.0		0.0		root		1.0		2965060.0	[scsi_tmf_0]
26673		0.0		0.0		ingjavi+	1.0		54.0		[wc]
